"","IndLeafCode","Species","FreshL","FreshW","FreshH","FreshTH","Petole","Scanned","X3D","IndLeafCode.1","DryL","DryW","DryH","DryTH","X3D.1","DryWeight","Pixels","Areacm2","SLAcm2g.1","X","X.1","X.2","X.3","X.4","FG"
"109","CASYs3-1","CASYs",6.25,1.17,1.87,0.17,0.36,"YES","YES","CASYs3-1",6.32,1.05,0.61,0.13,"YES",0.122,148906,10.67424388,87.49380233,"",NA,NA,NA,NA,"S"
"110","CASYs3-2","CASYs",6.66,1.43,2.02,0.2,0.32,"YES","YES","CASYs3-2",6.69,1.21,0.63,0.16,"YES",0.135,169796,12.17173193,90.16097725,"",NA,NA,NA,NA,"S"
"111","CHLA1-1","CHLA",8.25,1.44,1.15,0.38,0.93,"YES","YES","CHLA1-1",8.21,0.69,0.91,0.25,"YES",0.163,170322,12.20943795,74.90452728,"",NA,NA,NA,NA,"F"
"112","CHLA1-2","CHLA",6.8,1.55,0.25,0.35,0.79,"YES","YES","CHLA1-2",6.59,1.23,0.68,0.3,"YES",0.099,92708,6.645721476,67.12849975,"",NA,NA,NA,NA,"F"
"113","CHLA2-1","CHLA",6.97,1.63,0.2,0.37,0.7,"YES","YES","CHLA2-1",6.13,1.15,0.94,0.2,"YES",0.108,105438,7.558264453,69.98393012,"",NA,NA,NA,NA,"F"
"114","CHLA2-2","CHLA",6.6,1.38,0.2,0.38,0.81,"YES","YES","CHLA2-2",6.98,8.28,0.39,0.31,"YES",0.061,69502,4.982212258,81.67561078,"",NA,NA,NA,NA,"F"
"115","CHLA3-1","CHLA",7.92,1.97,0.59,0.37,0.7,"YES","YES","CHLA3-1",7.37,1.38,0.74,0.23,"YES",0.099,125332,8.984354791,90.7510585,"",NA,NA,NA,NA,"F"
"116","CHLA3-2","CHLA",7.8,2.06,1.47,0.34,0.73,"YES","YES","CHLA3-2",6.86,1,1.03,0.21,"YES",0.151,153767,11.02270197,72.99802628,"",NA,NA,NA,NA,"F"
"117","COLA1-1","COLA",5.63,2.49,0.74,0.17,0.34,"YES","YES","COLA1-1",5.27,2.56,0.73,0.13,"YES",0.151,163447,11.71660739,77.59342643,"",NA,NA,NA,NA,"G"
"118","COLA1-2","COLA",3.3,1.9,0.92,0.19,0.16,"YES","YES","COLA1-2",3.68,1.95,0.55,0.19,"YES",0.062,85685,6.142281622,99.06905842,"",NA,NA,NA,NA,"G"
"119","COLA2-1","COLA",3.8,2.34,0.47,0.1,0.11,"YES","YES","COLA2-1",3.41,2.41,0.72,0.13,"YES",0.08,101571,7.281060707,91.01325883,"replaced fresh measurements with 3d scan measurements. bad calipers? Original fresh values 1.49, 0.98,0.17,0.05. sf 090619",NA,NA,NA,NA,"G"
"120","COLA2-2","COLA",3.11,2.27,0.36,0.12,0.15,"YES","YES","COLA2-2",3.25,2.07,0.41,0.11,"YES",0.065,85312,6.115543324,94.08528191,"replaced fresh measurements with 3d scan measurements. bad calipers? Original fresh values 1.39, 0.89,0.47,0.06. sf 090619",NA,NA,NA,NA,"G"
"121","COLA3-1","COLA",6.55,3.5,0.57,0.16,0.25,"YES","YES","COLA3-1",6.02,3.49,0.6,0.14,"YES",0.22,249408,17.87867392,81.26669964,"",NA,NA,NA,NA,"G"
"122","COLA3-2","COLA",5.21,3.2,0.27,0.16,0.18,"YES","YES","COLA3-2",4.76,3.1,1.09,0.15,"YES",0.149,181868,13.03710654,87.49735934,"",NA,NA,NA,NA,"G"
"123","CRFL1-1","CRFL",16.86,6.66,4.03,0.31,5.21,"YES","YES","CRFL1-1",11.9,4.01,2.68,0.19,"YES",0.711,1105137,79.22113188,111.4221264,"",NA,NA,NA,NA,"F"
"124","CRFL1-2","CRFL",15.86,5.93,2.75,0.24,4.5,"YES","YES","CRFL1-2",12.97,3.17,3.49,0.24,"YES",0.584,814040,58.35400516,99.9212417,"",NA,NA,NA,NA,"F"
"125","CRFL2-1","CRFL",15.18,6.27,2.2,0.2,3.22,"YES","YES","CRFL2-1",11.84,2.18,2.89,0.29,"YES",0.727,800284,57.36791394,78.91047309,"",NA,NA,NA,NA,"F"
"126","CRFL2-2","CRFL",14.2,5.59,1.29,0.34,3.19,"YES","YES","CRFL2-2",11.33,2.94,1.25,0.27,"YES",0.54,666746,47.7953166,88.50984555,"",NA,NA,NA,NA,"F"
"127","CRFL3-1","CRFL",19.8,7.69,1.16,0.19,4.84,"YES","YES","CRFL3-1",15.1,5.97,3.52,0.3,"YES",0.835,1158207,83.02542535,99.43164712,"",NA,NA,NA,NA,"F"
"128","CRFL3-2","CRFL",16.5,6.19,1.29,0.29,0.39,"YES","YES","CRFL3-2",12.83,5.27,1.64,0.33,"YES",0.435,804094,57.64103167,132.5081188,"",NA,NA,NA,NA,"F"
"129","CUVE2-1","CUVE",13.41,4.59,1.6,0.23,0.05,"YES","YES","CUVE2-1",12.42,2.34,2.87,0.2,"YES",0.407,668424,47.91560309,117.7287545,"",NA,NA,NA,NA,"F"
"130","CUVE2-2","CUVE",10.32,3.73,1.16,0.2,0.04,"YES","YES","CUVE2-2",8.98,1.95,1.83,0.16,"YES",0.228,393310,28.19420884,123.6588107,"",NA,NA,NA,NA,"F"
"131","CUVE3-1","CUVE",14.83,4.21,1.3,0.23,0.66,"YES","YES","CUVE3-1",12.85,3.44,3.56,0.21,"YES",0.393,686936,49.24262553,125.2993016,"",NA,NA,NA,NA,"F"
"132","CUVE3-2","CUVE",14.28,4.69,1.59,0.18,0.67,"YES","YES","CUVE3-2",13.35,4.41,2.18,0.26,"YES",0.4,736716,52.81107717,132.0276929,"",NA,NA,NA,NA,"F"
"133","DAFA1-1","DAFA",12.86,1.59,1.05,0.19,0.76,"YES","YES","DAFA1-1",9.59,1.49,2.06,0.19,"YES",0.158,213163,15.28047123,96.71184323,"",NA,NA,NA,NA,"F"
"134","DAFA1-2","DAFA",12.22,1.49,1.4,0.21,0.61,"YES","YES","DAFA1-2",11.26,1.44,1.58,0.13,"YES",0.137,213466,15.30219162,111.6948293,"",NA,NA,NA,NA,"F"
"135","DAFA2-1","DAFA",10.69,1.53,0.73,0.19,0.77,"YES","YES","DAFA2-1",8.16,1.5,1.81,0.14,"YES",0.115,176937,12.68363055,110.2924395,"",NA,NA,NA,NA,"F"
"136","DAFA2-2","DAFA",8.51,1.91,0.45,0.19,0.42,"YES","YES","DAFA2-2",6.58,1.78,1.78,0.11,"YES",0.098,166442,11.9313023,121.7479827,"",NA,NA,NA,NA,"F"
"137","DAFA3-1","DAFA",9.74,1.7,0.37,0.25,0.42,"YES","YES","DAFA3-1",7.52,1.52,3.21,0.17,"YES",0.11,161680,11.58994098,105.3630998,"",NA,NA,NA,NA,"F"
"138","DAFA3-2","DAFA",8.88,1.81,0.84,0.26,0.29,"YES","YES","DAFA3-2",8.49,1.73,0.64,0.13,"YES",0.12,151886,10.88786353,90.73219607,"",NA,NA,NA,NA,"F"
"139","DARA1-1","DARA",9.29,1.65,0.97,0.23,0.35,"YES","YES","DARA1-1",8.79,1.43,1.52,0.12,"YES",0.095,152124,10.90492443,114.7886782,"",NA,NA,NA,NA,"G"
"140","DARA1-2","DARA",8.21,1.85,0.78,0.27,0.6,"YES","YES","DARA1-2",7.13,1.74,2.04,0.17,"YES",0.088,NA,NA,NA,"",NA,NA,NA,NA,"G"
"141","DARA2-1","DARA",8.35,1.87,0.49,0.26,0.53,"YES","YES","DARA2-1",7.95,1.6,1.31,0.14,"YES",0.089,152751,10.94987057,123.0322536,"",NA,NA,NA,NA,"G"
"142","DARA2-2","DARA",8.72,2.45,0.66,0.3,0.33,"YES","YES","DARA2-2",8.17,2.05,1.32,0.18,"YES",0.15,184606,13.23337855,88.22252367,"",NA,NA,NA,NA,"G"
"143","DARA3-1","DARA",9.89,2.26,0.57,0.24,0.31,"YES","YES","DARA3-1",9.37,2.08,1.22,0.11,"YES",0.1,222189,15.92749503,159.2749503,"",NA,NA,NA,NA,"G"
"144","DARA3-2","DARA",8.12,1.75,0.5,0.27,0.38,"YES","YES","DARA3-2",7.67,1.77,0.89,0.11,"YES",0.087,138288,9.913098453,113.9436604,"",NA,NA,NA,NA,"G"
"145","DIBU1-1","DIBU",NA,NA,NA,NA,NA,"","YES","DIBU1-1",17.2,8.08,3.7,0.48,"YES",1.725,NA,NA,NA,"",NA,NA,NA,NA,"S"
"146","DIBU1-2","DIBU",16.6,7.86,3.36,0.5,1.12,"","YES","DIBU1-2",15.6,4.99,3.43,0.35,"YES",1.562,NA,NA,NA,"",NA,NA,NA,NA,"S"
"147","DIBU1-3","DIBU",12.5,7.73,3.52,0.45,0.92,"","YES","DIBU1-3",11.81,5.89,3.49,0.34,"YES",1.046,NA,NA,NA,"",NA,NA,NA,NA,"S"
"148","DIBU2-1","DIBU",16.2,7.5,2.76,0.46,1.13,"YES","YES","DIBU2-1",14.98,5.84,3.07,0.43,"YES",1.362,1044958,74.9072337,54.99796894,"",NA,NA,NA,NA,"S"
"149","DIBU2-2","DIBU",19.5,9,4.82,0.49,1.68,"","YES","DIBU2-2",16.2,3.06,3.74,0.4,"YES",2.087,NA,NA,NA,"",NA,NA,NA,NA,"S"
"150","DIBU3-1","DIBU",17.9,8.4,5.15,0.46,1.31,"YES","YES","DIBU3-1",16,5.83,2.66,0.43,"YES",1.706,743490,53.2966676,31.24071958,"",NA,NA,NA,NA,"S"
"151","DIBU3-2","DIBU",13.2,8.5,3.17,0.52,0,"YES","YES","DIBU3-2",12.8,8.46,1.76,0.48,"YES",1.38,995499,71.36179276,51.71144403,"",NA,NA,NA,NA,"S"
"152","DIBU3-3","DIBU",21.5,13.3,7.01,0.47,1.41,"YES","YES","DIBU3-3",18.3,11.2,6.89,0.37,"YES",NA,1955348,140.1680351,NA,"",NA,NA,NA,NA,"S"
"153","DUFU1-1","DUFU",11.7,4.65,1.28,0.24,0.63,"YES","YES","DUFU1-1",9.82,4.26,2.78,0.31,"YES",0.69,501984,35.98444416,52.15136835,"",NA,NA,NA,NA,"S"
"154","DUFU1-2","DUFU",10.7,4.1,0.89,0.27,0.61,"YES","YES","DUFU1-2",8.94,3.27,2.01,0.49,"YES",0.513,429773,30.80803874,60.05465642,"",NA,NA,NA,NA,"S"
"155","DUFU2-1","DUFU",10.95,3.94,0.99,0.38,0.42,"YES","YES","DUFU2-1",9.210338301,4.161732033,2.189812936,0.22,"YES",0.653,432747,31.02122828,47.50570946,"Replaced dry measurements with 3d scan measurements. Bad calipers? Sf 090619",NA,NA,NA,NA,"S"
"156","DUFU2-2","DUFU",9.09,3.04,0.89,0.39,0.36,"YES","YES","DUFU2-2",7.679499675,3.140022334,1.718675249,0.28,"YES",0.36,277438,19.8879889,55.2444136,"Replaced dry measurements with 3d scan measurements. Bad calipers? Sf 090620",NA,NA,NA,NA,"S"
"157","DUFU3-1","DUFU",12.76,3.97,2.17,0.37,0.29,"YES","YES","DUFU3-1",12.73,3.49,1.85,0.29,"YES",0.805,570374,40.88694332,50.79123393,"",NA,NA,NA,NA,"S"
"158","DUFU3-2","DUFU",12.24,4.17,0.74,0.41,0.25,"YES","YES","DUFU3-2",11.95,3.7,1.14,0.29,"YES",0.758,548437,39.31440166,51.86596525,"",NA,NA,NA,NA,"S"
"159","ERDE1-1","ERDE",11.02,2.84,1.18,0.24,0.66,"YES","YES","ERDE1-1",10.84,2.85,0.78,0.19,"YES",0.431,362770,26.00496591,60.33634782,"",NA,NA,NA,NA,"G"
"160","ERDE1-2","ERDE",9.18,2.87,0.96,0.26,0.61,"YES","YES","ERDE1-2",8.54,2.62,0.94,0.19,"YES",0.281,267076,19.14519468,68.13236543,"",NA,NA,NA,NA,"G"
"161","ERDE2-1","ERDE",6.21,2.82,0.85,0.25,0.38,"YES","YES","ERDE2-1",6.22,1.11,1.04,0.22,"YES",0.186,201397,14.43703206,77.61845192,"",NA,NA,NA,NA,"G"
"162","ERDE2-2","ERDE",5.4,2.55,1,0.25,0.49,"YES","YES","ERDE2-2",4.91,2.06,1.25,0.15,"YES",0.129,137056,9.824783218,76.16111022,"",NA,NA,NA,NA,"G"
"163","ERDE3-1","ERDE",8.24,3.81,0.52,0.24,0.23,"YES","YES","ERDE3-1",7.92,3.86,0.87,0.24,"YES",0.292,327921,23.50683471,80.50285858,"",NA,NA,NA,NA,"G"
"164","ERDE3-2","ERDE",9.06,2.25,0.66,0.2,0.36,"YES","YES","ERDE3-2",7.67,2.28,0.105,0.14,"YES",0.154,212054,15.20097318,98.70761807,"",NA,NA,NA,NA,"G"
"165","ERGR1-1","ERGR",9.13,5.2,4.47,0.39,0.62,"YES","YES","ERGR1-1",6.51,4.98,4.41,0.43,"YES",0.696,576432,41.32120768,59.36955126,"",NA,NA,NA,NA,"S"
"166","ERGR1-2","ERGR",11.13,5.33,2.31,0.34,0.78,"YES","YES","ERGR1-2",10.35,4.65,3.02,0.2,"YES",0.588,604622,43.34199217,73.71087104,"",NA,NA,NA,NA,"S"
"167","ERGR2-1","ERGR",11.11,4.38,1.64,0.35,0.64,"YES","YES","ERGR2-1",10.66,4.08,2.03,0.26,"YES",0.583,563790,40.41497293,69.32242356,"",NA,NA,NA,NA,"S"
"168","ERGR2-2","ERGR",10.3,4.12,1.56,0.35,0.58,"YES","YES","ERGR2-2",9.63,4,1.82,0.3,"YES",0.502,487234,34.9270986,69.57589363,"",NA,NA,NA,NA,"S"
"169","ERGR3-1","ERGR",11.25,4.76,2.77,0.38,0.41,"YES","YES","ERGR3-1",10.8,5.15,1.64,0.31,"YES",0.873,650696,46.64478126,53.43044818,"",NA,NA,NA,NA,"S"
"170","ERGR3-2","ERGR",8.82,4.56,1.33,0.39,0.26,"YES","YES","ERGR3-2",8.12,4.89,1.92,0.35,"YES",0.555,480897,34.47283428,62.11321492,"",NA,NA,NA,NA,"S"
"171","ERSU1-1","ERSU",NA,NA,NA,NA,NA,"YES","YES","ERSU1-1",10.86,3.71,2.37,0.23,"YES",0.476,480917,34.47426797,72.42493271,"",NA,NA,NA,NA,"S"
"172","ERSU1-2","ERSU",10.06,4.8,3.44,0.26,0.55,NA,"YES","ERSU1-2",10.5,3.54,3.32,0.21,"YES",0.637,NA,NA,NA,"",NA,NA,NA,NA,"S"
"173","ERSU2-1","ERSU",10.51,4.28,3.08,0.29,0.55,"YES","YES","ERSU2-1",10.86,4.6,2.22,0.28,"YES",0.601,555548,39.82414974,66.26314433,"",NA,NA,NA,NA,"S"
"174","ERSU2-2","ERSU",7.11,4.54,2.84,0.32,0.52,"YES","YES","ERSU2-2",7.2,4.25,2.28,0.27,"YES",0.44,333678,23.91952205,54.36255012,"",NA,NA,NA,NA,"S"
"175","ERSU3-1","ERSU",9.66,4.49,2.93,0.32,0.48,"YES","YES","ERSU3-1",9.34,4.32,2.93,0.26,"YES",0.578,496556,35.595341,61.58363494,"",NA,NA,NA,NA,"S"
"176","ERSU3-2","ERSU",8.39,4.1,2.38,0.3,0.5,"YES","YES","ERSU3-2",8.55,2.99,2.43,0.23,"YES",0.366,356154,25.53070163,69.75601537,"",NA,NA,NA,NA,"S"
"177","ERTO1-1","ERTO",18.2,5.4,1.52,0.27,0,"YES","YES","ERTO1-1",17.1,3.01,1.91,0.21,"YES",0.885,944509,67.70660294,76.50463609,"",NA,NA,NA,NA,"S"
"178","ERTO1-2","ERTO",14.1,3.9,1.88,0.29,0,"YES","YES","ERTO1-2",13.34,3.14,1.57,0.21,"YES",0.532,544854,39.05755629,73.4164592,"",NA,NA,NA,NA,"S"
"179","ERTO2-1","ERTO",13.05,3.6,2.27,0.25,0.42,"YES","YES","ERTO2-1",12.53,2.01,1.67,0.32,"YES",0.467,496576,35.59677468,76.22435693,"",NA,NA,NA,NA,"S"
"180","ERTO2-2","ERTO",13.69,3.75,2.74,0.26,0.71,"YES","YES","ERTO2-2",13.29,1.43,1.97,0.18,"YES",0.591,532244,38.15361545,64.55772496,"",NA,NA,NA,NA,"S"
"181","ERTO3-1","ERTO",13.1,3.35,1.9,0.19,0.63,"YES","YES","ERTO3-1",12.54,2.28,1.68,0.16,"YES",0.49,492240,35.28595093,72.01214476,"",NA,NA,NA,NA,"S"
"182","ERTO3-2","ERTO",11.32,3.63,1.94,0.17,0.36,"YES","YES","ERTO3-2",10.7,2.46,1.97,0.12,"YES",0.387,468686,33.59749553,86.81523392,"",NA,NA,NA,NA,"S"
"183","FAMO1-1","FAMO",17.4,5.88,2.84,0.19,1.26,"YES","YES","FAMO1-1",12.59,5.06,3.45,0.22,"YES",0.357,958036,68.67627842,192.3705278,"",NA,NA,NA,NA,"F"
"184","FAMO1-2","FAMO",14.16,4.9,1.66,0.2,0.94,"YES","YES","FAMO1-2",12.3,4.39,1.59,0.13,"YES",0.373,662460,47.48807707,127.3138795,"",NA,NA,NA,NA,"F"
"185","FAMO2-1","FAMO",15.62,5.78,1.64,0.2,0.9,"YES","YES","FAMO2-1",13.99,4.26,3.11,0.17,"YES",0.656,880739,63.13528592,96.2428139,"",NA,NA,NA,NA,"F"
"186","FAMO2-2","FAMO",15.2,5.67,1.93,0.14,1.18,"YES","YES","FAMO2-2",14.81,5.24,2.2,0.16,"YES",0.651,823708,59.04705036,90.70207429,"",NA,NA,NA,NA,"F"
"187","FAMO3-1","FAMO",18.3,5.86,2.28,0.21,1.21,"YES","YES","FAMO3-1",12.61,5.37,4.88,0.19,"YES",0.618,1003937,71.9666661,116.450916,"",NA,NA,NA,NA,"F"
"188","FAMO3-2","FAMO",17.4,4.49,1.35,0.2,1.37,"YES","YES","FAMO3-2",11.56,4.07,4.22,0.16,"YES",0.414,736227,52.77602348,127.4783176,"",NA,NA,NA,NA,"F"
"189","GOBA1-1","GOBA",14.5,6.16,4.35,0.48,1.32,"YES","YES","GOBA1-1",13.64,3.19,2.5,0.23,"YES",0.601,845090,60.57980716,100.798348,"",NA,NA,NA,NA,"S"
"190","GOBA1-2","GOBA",11.29,4.52,NA,NA,0.78,"YES","YES","GOBA1-2",10.4,1.11,1.47,0.28,"YES",0.344,464939,33.32889392,96.88631952,"",NA,NA,NA,NA,"S"
"191","GOBA2-1","GOBA",12.61,5.35,3.17,0.83,14.17,"YES","YES","GOBA2-1",11.3,4.62,2.13,0.38,"YES",0.532,735096,52.69494837,99.05065484,"",NA,NA,NA,NA,"S"
"192","GOBA2-2","GOBA",11.95,4.36,2.17,0.76,1.26,"YES","YES","GOBA2-2",11.14,1.46,1.78,0.31,"YES",0.368,422708,30.30158814,82.34127213,"",NA,NA,NA,NA,"S"
"193","GOBA3-1","GOBA",10.79,8.3,4.36,0.98,1.36,"YES","YES","GOBA3-1",10.29,3.37,2.06,0.31,"YES",0.68,662004,47.45538896,69.78733671,"",NA,NA,NA,NA,"S"
"194","GOBA3-2","GOBA",12.32,7.36,4.27,0.66,1.12,"YES","YES","GOBA3-2",10.93,2.34,1.94,0.2,"YES",0.519,678749,48.65574498,93.74902694,"",NA,NA,NA,NA,"S"
"195","GOPO1-1","GOPO",13.5,5.3,NA,NA,NA,NA,"YES","GOPO1-1",11.91,1.98,1.39,0.27,"YES",0.674,NA,NA,NA,"",NA,NA,NA,NA,"G"
"196","GOPO2-1","GOPO",14.5,5.6,3.75,0.43,1.73,"YES","YES","GOPO2-1",13.5,1.63,1.8,0.49,"YES",0.819,723916,51.89351628,63.36204675,"",NA,NA,NA,NA,"G"
"197","GOPO2-2","GOPO",11.6,4.3,1.83,0.44,1.36,"YES","YES","GOPO2-2",10.75,1.16,1.16,0.3,"YES",0.492,421051,30.18280702,61.34716874,"",NA,NA,NA,NA,"G"
"198","GOPO3-1","GOPO",14,4.6,1.69,0.33,1.38,"YES","YES","GOPO3-1",11.99,2.44,2.05,0.27,"YES",0.555,557592,39.97067275,72.01923017,"",NA,NA,NA,NA,"G"
"199","GOPO3-2","GOPO",16.1,4.23,1.73,0.34,1.61,"YES","YES","GOPO3-2",12.18,1.81,2.45,0.21,"YES",0.557,640080,45.8837792,82.37662334,"",NA,NA,NA,NA,"G"
"200","GUNI1-1","GUNI",13.8,3.8,1.05,0.19,0.43,"YES","YES","GUNI1-1",12.92,3.02,2.15,0.17,"YES",0.197,412363,29.56001256,150.0508252,"",NA,NA,NA,NA,"F"
"201","GUNI1-2","GUNI",12.5,3.5,1.11,0.2,0.52,"YES","YES","GUNI1-2",4.9,3.42,2.53,0.18,"YES",0.179,371722,26.64668506,148.8641623,"",NA,NA,NA,NA,"F"
"202","GUNI2-1","GUNI",10.99,3,0.76,0.18,0.44,"YES","YES","GUNI2-1",10.05,2.32,1.39,0.12,"YES",0.184,313224,22.45328843,122.0287414,"",NA,NA,NA,NA,"F"
"203","GUNI2-2","GUNI",13.46,3.33,1.1,0.12,0.38,"YES","YES","GUNI2-2",9.57,2.14,2.56,0.14,"YES",0.238,474668,34.02631188,142.967697,"",NA,NA,NA,NA,"F"
"204","GUNI3-1","GUNI",13.51,3.79,1.02,0.18,0.73,"YES","YES","GUNI3-1",12.43,3.64,1.55,0.13,"YES",0.315,469226,33.63620513,106.7816036,"",NA,NA,NA,NA,"F"
"205","GUNI3-2","GUNI",10.02,2.79,1.17,0.19,0.45,"YES","YES","GUNI3-2",7.62,2.86,1.52,0.14,"YES",0.184,299532,21.47178501,116.6944838,"",NA,NA,NA,NA,"F"
"206","GUVI1-1","GUVI",16.5,6.54,0.66,0.22,5.75,"YES","YES","GUVI1-1",15.43,5.97,1.93,0.17,"YES",0.362,709844,50.88477278,140.5656707,"",NA,NA,NA,NA,"F"
"207","GUVI1-2","GUVI",15.22,8.56,2.07,0.21,3.8,"YES","YES","GUVI1-2",13.82,7.25,1.7,0.19,"YES",0.648,1056904,75.76357607,116.9190989,"",NA,NA,NA,NA,"F"
"208","GUVI2-1","GUVI",20.5,6.35,1.03,0.23,4.23,"YES","YES","GUVI2-1",17.6,3.13,2.98,0.14,"YES",0.422,1053276,75.50350491,178.9182581,"",NA,NA,NA,NA,"F"
"209","GUVI2-2","GUVI",20.4,5.88,1.29,0.25,6.55,"YES","YES","GUVI2-2",17.5,5.07,1.75,0.14,"YES",0.344,858035,61.50776229,178.8016346,"",NA,NA,NA,NA,"F"
"210","GUVI3-1","GUVI",17.6,7.81,0.6,0.13,5.35,"YES","YES","GUVI3-1",16.4,6.15,1.48,0.24,"YES",0.773,1024567,73.44551619,95.01360439,"",NA,NA,NA,NA,"F"
"211","GUVI3-2","GUVI",13.98,7.82,1.21,0.17,3.31,"YES","YES","GUVI3-2",13.1,6.85,1.22,0.2,"YES",0.655,864520,61.97263591,94.61471131,"",NA,NA,NA,NA,"F"
"212","HEAP1-1","HEAP",7.95,1.59,0.26,0.16,0,"YES","YES","HEAP1-1",6.85,1.3,0.99,0.22,"YES",0.07,121616,8.717975396,124.5425057,"",NA,NA,NA,NA,"F"
"213","HEAP1-2","HEAP",8.1,1.95,0.38,0.2,0,"YES","YES","HEAP1-2",6.06,1.4,1.13,0.17,"YES",0.098,147071,10.54270293,107.5786013,"",NA,NA,NA,NA,"F"
"214","JACA1-1","JACA",3.58,0.87,0.34,0.12,0,"YES","YES","JACA1-1",3.53,0.81,0.32,0.15,"YES",0.021,31315,2.244798378,106.8951608,"",NA,NA,NA,NA,"S"
"215","JACA1-2","JACA",3.1,0.84,0.26,0.14,0,"YES","YES","JACA1-2",3.03,0.75,0.22,0.11,"YES",0.017,27313,1.957917231,115.1716018,"",NA,NA,NA,NA,"S"
"216","JACA2-1","JACA",4.05,1.02,0.88,0.13,0,"YES","YES","JACA2-1",3.91,0.94,0.19,0.14,"YES",0.023,39030,2.797843867,121.6453855,"",NA,NA,NA,NA,"S"
"217","JACA2-2","JACA",4,0.92,1.85,0.1,0,"YES","YES","JACA2-2",3.8,0.93,0.11,0.09,"YES",0.018,33458,2.398418142,133.2454523,"",NA,NA,NA,NA,"S"
